ExecutionId,CycleName,FolderName,Issue Key,Test Summary,Project,Component,Version,Priority,Executed By,Executed On,ExecutionStatus,ExecutionDefects,CreationDate,Assigned To,Custom Fields,Work Flow Status,Total Execution Time,Total Logged Time,StepId,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Step Custom Fields
f4de9cf8-f1d5-4e3b-bba9-d9681d2a3e51,Ad hoc,,PRJCT4-18,login functionality,project4,,version1.0,Medium,,,UNEXECUTED,,08-21-2022 21:02:12,,,,,,70287f4f-f5e4-43b9-92b0-2c71dcac9b8b,1,open the browser,chrome,browser should open,UNEXECUTED,,
f4de9cf8-f1d5-4e3b-bba9-d9681d2a3e51,Ad hoc,,PRJCT4-18,login functionality,project4,,version1.0,Medium,,,UNEXECUTED,,08-21-2022 21:02:12,,,,,,ff0f66a9-1b84-4e87-90e7-83632088880a,2,enter the url,https://opensource-demo.orangehrmlive.com/,it should navigate to orange hrm,UNEXECUTED,,
f4de9cf8-f1d5-4e3b-bba9-d9681d2a3e51,Ad hoc,,PRJCT4-18,login functionality,project4,,version1.0,Medium,,,UNEXECUTED,,08-21-2022 21:02:12,,,,,,795d68c3-d419-444d-8c82-5cae9556855f,3,enter the username,Admin,entered username should be accepted,UNEXECUTED,,
f4de9cf8-f1d5-4e3b-bba9-d9681d2a3e51,Ad hoc,,PRJCT4-18,login functionality,project4,,version1.0,Medium,,,UNEXECUTED,,08-21-2022 21:02:12,,,,,,33a3c9c7-9907-430b-aad3-2932b32969a6,4,enter the password,admin123,entered password should be accepted,UNEXECUTED,,
f4de9cf8-f1d5-4e3b-bba9-d9681d2a3e51,Ad hoc,,PRJCT4-18,login functionality,project4,,version1.0,Medium,,,UNEXECUTED,,08-21-2022 21:02:12,,,,,,d254597d-ec0c-41e6-a152-269538250a4f,5,click log in button,,login should be successful,UNEXECUTED,,
f4de9cf8-f1d5-4e3b-bba9-d9681d2a3e51,Ad hoc,,PRJCT4-18,login functionality,project4,,version1.0,Medium,,,UNEXECUTED,,08-21-2022 21:02:12,,,,,,e4c94c36-971e-4a4e-9dee-4eed08da5558,6,should be in orangehrm home page and click on profile,,user profile should open,UNEXECUTED,,
f4de9cf8-f1d5-4e3b-bba9-d9681d2a3e51,Ad hoc,,PRJCT4-18,login functionality,project4,,version1.0,Medium,,,UNEXECUTED,,08-21-2022 21:02:12,,,,,,9f9a72ea-b5f6-4f43-8f57-a5765f44fc5f,7,orangehrm home page employee list option selected,,employee list opened,UNEXECUTED,,
f4de9cf8-f1d5-4e3b-bba9-d9681d2a3e51,Ad hoc,,PRJCT4-18,login functionality,project4,,version1.0,Medium,,,UNEXECUTED,,08-21-2022 21:02:12,,,,,,e3da31ed-04c8-41ad-b399-0244ba2881a5,8,enter employee name,vishnu r,name should be displayed,UNEXECUTED,,
f4de9cf8-f1d5-4e3b-bba9-d9681d2a3e51,Ad hoc,,PRJCT4-18,login functionality,project4,,version1.0,Medium,,,UNEXECUTED,,08-21-2022 21:02:12,,,,,,7ce047e4-a4eb-43fd-aaf3-d006ccb16d86,9,Click dropdown box in employment status,,Should be able to select options from dropdown box and must be displayed,UNEXECUTED,,
5fdcae29-6545-4167-985a-a494a05094c6,Ad hoc,,PRJCT4-18,login functionality,project4,,version1.0,Medium,Vishnu R,08-21-2022 21:08:01,PASS,,08-21-2022 21:03:18,,,,,,70287f4f-f5e4-43b9-92b0-2c71dcac9b8b,1,open the browser,chrome,browser should open,PASS,,
